placeID,placeName,placeType,latitude,longitude
2067,Lyndale Farmstead Park,park,44.932071,-93.2913459
2068,Whittier Park,park,44.9540262,-93.28507479999999
2069,Sledding Hill,park,44.93077479999999,-93.2919117
2108,Victory Memorial Park,park,45.0131502,-93.3188955
2109,Lakeview Terrace Park,park,45.0217105,-93.3251452
2128,Shoreview Triangle,park,44.90557939999999,-93.2364983
2147,Nokomis Field 8 & 9,park,44.9124989,-93.24705999999999
2148,Nokomis Park - Nokomis SB/KB 9,park,44.91250829999999,-93.2469639
2149,Giant Black Willow Tree,park,44.91537379999999,-93.2428443
2265,Coldwater Spring,park,44.9013127,-93.1974627
2268,Minnehaha Creek,park,44.90894,-93.200853
2269,Novelty Falls,park,44.9050826,-93.1948901
2286,University Grove Park,park,44.99024379999999,-93.1917821
2302,East Phillips Park,park,44.96037680000001,-93.24858479999999
2306,Peaceful Patch Community Garden,park,44.9577064,-93.25901929999999
2307,Midtown Greenway,park,44.9508696,-93.2463923
2308,Parking dpot,park,44.96155049999999,-93.2510053
2309,Artstop Garden,park,44.9446285,-93.2623744
2315,Triangle Park,park,44.95964600000001,-93.328334
2320,Keystone Park,park,44.94762,-93.35637
2321,Birchwood Park,park,44.9540729,-93.35469499999999
2326,Twin Lakes Park,park,44.9579946,-93.3405023
2336,North Tyrol Park,park,44.97160309999999,-93.33335579999999
2389,Lauderdale Community Park,park,44.9981904,-93.1987439
2465,Sheridan Park,park,44.88532399999999,-93.31478399999999
2468,Oliver Triangle,park,44.89810799999999,-93.307389
2469,Armatage Park,park,44.8997474,-93.30985650000001
2475,Rosland Park,park,44.8845687,-93.335275
2479,"Edina Promenade (Walking, Biking)",park,44.8733943,-93.32338899999999
2483,Pamela Park,park,44.8950354,-93.3338569
2487,Washburn Tot Lot,park,44.8968436,-93.31752689999999
2610,Silverwood Park,park,45.047801,-93.223126
2622,Silver Lake Beach Park,park,45.0471801,-93.2270937
2628,Huset Park,park,45.0395518,-93.255558
2629,Deming Heights Park,park,45.0243929,-93.2436803
2686,Marshall Terrace Park,park,45.0174172,-93.2733142
2687,Wood Chips Location,park,45.0223397,-93.2723204
2688,Edgewater Park,park,45.012585,-93.272368
2689,Xcel Field Park,park,45.0253327,-93.2736607
2781,Hosmer Community Garden,park,44.93765310000001,-93.2698987
2782,Sabathany Community Park,park,44.93568330000001,-93.27175559999999
2785,DREAMSLAND,park,44.94292669999999,-93.2640905
2793,Alden Square Park,park,44.9758921,-93.1879033
2799,Tatum Park,park,44.9684444,-93.180539
2801,May Park,park,44.96537499999999,-93.17823
2805,Hamline Park,park,44.9599593,-93.1667032
2807,Curtiss Field Park,park,44.98931289999999,-93.1661465
2809,St Paul Park Department Operations,park,44.97413450000001,-93.1562706
2810,Como Park Zoo & Conservatory,park,44.9829878,-93.15411259999999
2813,Como Park,park,44.979549,-93.1544064
2814,Como Regional Park,park,44.9789384,-93.14990039999999
2815,Como Park Fire Pits,park,44.977688,-93.154758
2816,Como Woodland Outdoor Classroom,park,44.97718220000001,-93.1565191
2817,Van Slyke Triangle,park,44.97704209999999,-93.1450096
2818,Leroy Triangle,park,44.97604980000001,-93.1426583
2819,Stinson Park,park,44.9690658,-93.1422061
2820,Bruce Russell Park,park,44.9996277,-93.14927999999999
2821,Frogtown Park and Farm,park,44.9622307,-93.139018
2824,Horton Park,park,44.9637558,-93.1577479
2826,Como Town,park,44.9811707,-93.1547562
2828,Ryan Park,park,44.9598034,-93.1334718
2830,Minnesota Department of Natural Resources,park,44.956276,-93.083986
2831,Lewis Park,park,44.9684682,-93.1089653
2832,Sylvan Park,park,44.9769481,-93.10267410000002
2833,Swede Hollow Park,park,44.9617465,-93.0718548
2834,Trout Brook Nature Sanctuary,park,44.9728275,-93.0923802
2835,Lyton Park,park,44.96559610000001,-93.1037767
2836,Arlington/Arkwright Off Leash Dog Park,park,44.9825415,-93.0835774
2837,Como Avenue Horseshoe Courts,park,44.96167189999999,-93.1114443
2838,Valley Playground,park,44.9585703,-93.09732199999999
2839,Weida Park,park,44.9604813,-93.0804151
2840,Upper Mall Minnesota State Capitol,park,44.9534435,-93.1022072
2841,Eden Community Garden,park,44.9575632,-93.12252
2842,Western Sculpture Park,park,44.9530943,-93.111469
2843,Athens State Wildlife Management Area,park,44.95622579999999,-93.0838417
2844,Wheelock Triangles,park,44.9849304,-93.07058359999999
2845,Pedro Park,park,44.95105029999999,-93.094726
2846,Cayuga Park,park,44.9665659,-93.092175
2847,West Minnehaha Recreation Center,park,44.96334700000001,-93.1292687
2848,Front Park,park,44.9696128,-93.1195398
2849,Marydale Park,park,44.9754643,-93.12410949999999
2867,Hamline and Hague Park (Tot-Lot),park,44.9455838,-93.1561624
